,result
0,额B-COMMENTS_N 度I-COMMENTS_N 年B-COMMENTS_N 费I-COMMENTS_N 广B-BANK 发I-BANK 风B-COMMENTS_N 控I-COMMENTS_N 严B-COMMENTS_ADJ
1,浦B-BANK 发I-BANK 好B-COMMENTS_ADJ 心I-COMMENTS_ADJ
2,分B-PRODUCT 期I-PRODUCT 提B-COMMENTS_N 额I-COMMENTS_N
3,首B-PRODUCT 卡I-PRODUCT 邮B-BANK 政I-BANK 授B-COMMENTS_N 信I-COMMENTS_N 额B-COMMENTS_N 度I-COMMENTS_N
4,浦B-BANK 发I-BANK
5,最B-COMMENTS_ADJ 低I-COMMENTS_ADJ 只B-COMMENTS_ADJ 有I-COMMENTS_ADJ 更B-COMMENTS_ADJ 低I-COMMENTS_ADJ
6,激B-COMMENTS_N 活I-COMMENTS_N 储B-PRODUCT 蓄I-PRODUCT 卡I-PRODUCT
7,额B-COMMENTS_N 度I-COMMENTS_N
8,额B-COMMENTS_N 度I-COMMENTS_N
9,中B-BANK 信I-BANK
10,下B-COMMENTS_N 卡I-COMMENTS_N 招B-BANK 行I-BANK 很B-COMMENTS_ADJ 快I-COMMENTS_ADJ
11,鼎B-PRODUCT 雅I-PRODUCT 最B-COMMENTS_ADJ 好I-COMMENTS_ADJ 雅I-PRODUCT
12,恒B-BANK 丰I-BANK 食I-PRODUCT
13,厉B-COMMENTS_ADJ 害I-COMMENTS_ADJ 不B-COMMENTS_ADJ 靠I-COMMENTS_ADJ 谱I-COMMENTS_ADJ 理B-PRODUCT 财I-PRODUCT
14,招B-BANK 行I-BANK
15,征B-PRODUCT 信I-PRODUCT
16,尴B-COMMENTS_ADJ 尬I-COMMENTS_ADJ
17,交B-BANK 通I-BANK 银I-BANK 行I-BANK
18,快I-COMMENTS_ADJ
19,
20,正B-COMMENTS_ADJ 好I-COMMENTS_ADJ 卡B-PRODUCT
21,激B-COMMENTS_N 活I-COMMENTS_N
22,消B-COMMENTS_N 费I-COMMENTS_N 提B-COMMENTS_N 额I-COMMENTS_N 临B-COMMENTS_N 额I-COMMENTS_N
23,多B-COMMENTS_ADJ 少I-COMMENTS_ADJ 利B-COMMENTS_N 息I-COMMENTS_N 利B-COMMENTS_N 息I-COMMENTS_N 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ 多B-COMMENTS_ADJ 少I-COMMENTS_ADJ
24,太B-COMMENTS_ADJ 低B-COMMENTS_ADJ
25,卡B-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
26,分I-COMMENTS_ADJ
27,额B-COMMENTS_N 度I-COMMENTS_N 太B-COMMENTS_ADJ 低I-COMMENTS_ADJ
28,骗B-COMMENTS_ADJ
29,邮B-BANK 储I-BANK
30,
31,不B-COMMENTS_ADJ 容I-COMMENTS_ADJ 易I-COMMENTS_ADJ 容I-COMMENTS_ADJ
32,卡B-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
33,公B-PRODUCT 积I-PRODUCT 金I-PRODUCT 公B-PRODUCT 积I-PRODUCT 金I-PRODUCT 分B-PRODUCT 期I-PRODUCT 卡I-PRODUCT 征B-PRODUCT 信I-PRODUCT 征B-PRODUCT 信I-PRODUCT 邮B-BANK 政I-BANK 银I-BANK 行I-BANK 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 审B-COMMENTS_N 批I-COMMENTS_N
34,注B-COMMENTS_N 销I-COMMENTS_N
35,审B-COMMENTS_N 核I-COMMENTS_N 卡B-PRODUCT
36,广B-BANK 发I-BANK 分B-PRODUCT 期I-PRODUCT
37,负B-COMMENTS_N 债I-COMMENTS_N 过B-COMMENTS_ADJ 高I-COMMENTS_ADJ 信B-PRODUCT 用I-PRODUCT 卡I-PRODUCT 额B-COMMENTS_N 度I-COMMENTS_N
38,平B-BANK 安I-BANK
39,白B-PRODUCT 金I-PRODUCT 卡I-PRODUCT
40,招B-BANK 行I-BANK 靠B-COMMENTS_ADJ 谱I-COMMENTS_ADJ
41,
42,积B-PRODUCT 分I-PRODUCT
43,招B-BANK 行I-BANK
44,
45,浦B-BANK 发I-BANK
46,最B-COMMENTS_ADJ 佳I-COMMENTS_ADJ 不B-COMMENTS_ADJ 大I-COMMENTS_ADJ
47,广B-BANK 发I-BANK 广B-BANK 发I-BANK 费I-COMMENTS_ADJ
48,额B-COMMENTS_N 度I-COMMENTS_N
49,少I-COMMENTS_ADJ 分B-PRODUCT 期I-PRODUCT 提B-COMMENTS_N 额I-COMMENTS_N 分B-PRODUCT 期I-PRODUCT 提B-COMMENTS_N 额I-COMMENTS_N 大I-COMMENTS_ADJ
50,利B-COMMENTS_N 率I-COMMENTS_N 提B-COMMENTS_ADJ 高I-COMMENTS_ADJ
51,无B-PRODUCT 界I-PRODUCT 卡I-PRODUCT
52,额B-COMMENTS_N 度I-COMMENTS_N 低B-COMMENTS_ADJ
53,工B-BANK 商I-BANK 招B-BANK 行I-BANK
54,天B-COMMENTS_ADJ 真I-COMMENTS_ADJ
55,金B-COMMENTS_N 额I-COMMENTS_N
56,菜B-PRODUCT 卡I-PRODUCT 伤B-COMMENTS_ADJ 心I-COMMENTS_ADJ
57,浦B-BANK 发I-BANK 招B-BANK 商I-BANK 到B-COMMENTS_N 期I-COMMENTS_N
58,余B-PRODUCT 额I-PRODUCT 宝I-PRODUCT 货B-PRODUCT 币I-PRODUCT 基B-PRODUCT 金I-PRODUCT 收B-COMMENTS_N 益I-COMMENTS_N 稳B-COMMENTS_ADJ 定I-COMMENTS_ADJ
